Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_STUSAB,STATE,YEAR,POPULATION,POPULATIONSE,POPULATIONMIN,POPULATIONMAX,DRIVE,DRIVESE,DRIVEMIN,DRIVEMAX,TRAVELTIME,TRAVELTIMESE,TRAVELTIMEMIN,TRAVELTIMEMAX,DEGREE,DEGREESE,DEGREEMIN,DEGREEMAX,AVGINCOME,AVGINCOMESE,AVGINCOMEMIN,AVGINCOMEMAX,MEDINCOME,MEDINCOMESE,MEDINCOMEMIN,MEDINCOMEMAX,HOUSEHOLDS,HOUSEHOLDSSE,HOUSEHOLDSMIN,HOUSEHOLDSMAX,OWN,OWNSE,OWNMIN,OWNMAX,RENT,RENTSE,RENTMIN,RENTMAX,WHITE,WHITEMIN,WHITEMAX,AFAM,AFAMSE,AFAMMIN,AFAMMAX,ASIAN,ASIANSE,ASIANMIN,ASIANMAX,OTHERRACE,OTHERRACESE,OTHERRACEMIN,OTHERRACEMAX,SIZE,SIZESE,SIZEMIN,SIZEMAX,ROOMS,ROOMSSE,ROOMSMIN,ROOMSMAX,DETACHED,DETACHEDSE,DETACHEDMIN,DETACHEDMAX,YEARBUILT,YEARBUILTSE,YEARBUILTMIN,YEARBUILTMAX,HEATGAS,HEATGASSE,HEATGASMIN,HEATGASMAX,HEATKWH,HEATKWHSE,HEATKWHMIN,HEATKWHMAX,NOHEAT,NOHEATSE,NOHEATMIN,NOHEATMAX,VEHICLES,VEHICLESSE,VEHICLESMIN,VEHICLESMAX,Battey Electric,Diesel,Diesel Hybrid,Ethanol,Fuel Cell,Gasoline,Hybrid Gas,Plug-in Hybrid,Butane,Compressed Natural Gas,Methanol,Methane,Natural Gas,Propane,Grand Total,Battey Electric,Diesel,Diesel Hybrid,Ethanol,Fuel Cell,Gasoline,Hybrid Gas,Plug-in Hybrid,Butane,Compressed Natural Gas,Methanol,Methane,Natural Gas,Propane,Grand Total,%BEV-PEV
6001,05000US06001,"Alameda County, California",ca,California,2014,1605217,0,1605217,1605217,0.625727463,0.006106458,0.619621006,0.631833921,38.86995214,0.136215719,38.73373642,39.00616786,0.865851605,2.23E-05,0.865829324,0.865873887,99676.97189,168.7183977,99508.25349,99845.69029,79831,447.8787879,79383.12121,80278.87879,1605217,0.012121212,1605216.988,1605217.012,0.525673719,0.002892941,0.522780778,0.52856666,0.474326281,0.002711067,0.471615214,0.477037348,0.498434324,0.496528634,0.500340014,0.133026637,0.001193192,0.131833445,0.134219828,0.252521297,0.001431455,0.251089841,0.253952752,0.156480764,0.00185226,0.154628504,0.158333025,2.79,0.012121212,2.777878788,2.802121212,5.055884318,0.005124478,5.050759839,5.061008796,0.52976572,0.002134257,0.527631463,0.531899978,1963.357967,0.963509224,1962.394458,1964.321476,0.720021336,0.002854457,0.717166879,0.722875793,0.248906153,0.002336693,0.24656946,0.251242847,0.021518963,0.00074733,0.020771632,0.022266293,1.791473578,0.005587729,1.785885849,1.797061308,"14,904","38,103",36,"53,198",170,"1,048,019","62,088","10,342",1,91,195,0,"1,173",56,"1,228,376",1.21%,3.10%,0.00%,4.33%,0.01%,85.32%,5.05%,0.84%,0.00%,0.01%,0.02%,0.00%,0.10%,0.00%,100.00%,1.21%
6003,05000US06003,"Alpine County, California",ca,California,2014,1184,115.7575758,1068.242424,1299.757576,0.630922693,0.21133736,0.419585333,0.842260053,27.48656716,3.683166268,23.8034009,31.16973343,0.685131195,0.199241369,0.485889826,0.884372564,75154.51895,9162.756088,65991.76286,84317.27504,62375,3629.69697,58745.30303,66004.69697,1184,0.442424242,1183.557576,1184.442424,0.816326531,0.146705851,0.66962068,0.963032381,0.183673469,0.052701555,0.130971914,0.236375024,0.825072886,0.681471288,0.968674485,0,NA,NA,NA,0.011661808,0.010696557,0.00096525,0.022358365,0.224489796,0.072486219,0.152003576,0.296976015,3.34,0.442424242,2.897575758,3.782424242,4.814229249,0.091105966,4.723123283,4.905335215,0.639751553,0.027338068,0.612413485,0.66708962,1982.461604,29.17235289,1953.289251,2011.633957,0.451895044,0.089352694,0.362542349,0.541247738,0.055393586,0.022252853,0.033140733,0.077646439,0.002915452,0.003551712,-0.00063626,0.006467164,1.959183673,0.265250826,1.693932848,2.224434499,2,177,0,92,0,"1,570",30,1,0,0,0,0,0,0,"1,872",0.11%,9.46%,0.00%,4.91%,0.00%,83.87%,1.60%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.11%
6005,05000US06005,"Amador County, California",ca,California,2014,36963,0,36963,36963,0.801656281,0.044995952,0.756660329,0.846652233,35.89542768,1.120329995,34.77509768,37.01575767,0.434025828,0.003338075,0.430687754,0.437363903,68831.90623,1376.099397,67455.80684,70208.00563,57032,1967.878788,55064.12121,58999.87879,36963,0.042424242,36962.95758,36963.04242,0.756457047,0.025374249,0.731082798,0.781831295,0.243542953,0.017003514,0.226539439,0.260546468,0.939149354,0.913581457,0.964717251,0.001263335,0.000808589,0.000454746,0.002071924,0.006807973,0.001367957,0.005440016,0.00817593,0.072220663,0.009987954,0.062232709,0.082208616,2.31,0.042424242,2.267575758,2.352424242,5.605724331,0.043182435,5.562541896,5.648906766,0.836675273,0.011678483,0.824996791,0.848353756,1976.527853,11.12152184,1965.406331,1987.649374,0.57657215,0.024667818,0.551904332,0.601239969,0.177568782,0.013040771,0.164528011,0.190609552,0.005895564,0.002299995,0.003595569,0.008195559,2.116367209,0.05367291,2.062694299,2.170040119,51,"4,319",0,"2,534",0,"36,766",753,58,0,0,7,0,12,13,"44,513",0.11%,9.70%,0.00%,5.69%,0.00%,82.60%,1.69%,0.13%,0.00%,0.00%,0.02%,0.00%,0.03%,0.03%,100.00%,0.11%
6007,05000US06007,"Butte County, California",ca,California,2014,223877,0,223877,223877,0.751037628,0.0181067,0.732930927,0.769144328,23.57688358,0.260427783,23.3164558,23.83731137,0.441529735,0.000631075,0.44089866,0.44216081,61465.28273,431.7457616,61033.53697,61897.02849,44366,685.4545455,43680.54545,45051.45455,223877,0.018181818,223876.9818,223877.0182,0.585357581,0.007577573,0.577780009,0.592935154,0.414642419,0.007278008,0.407364411,0.421920427,0.884123735,0.874667932,0.893579539,0.010139758,0.001143391,0.008996367,0.011283149,0.027729373,0.001712238,0.026017135,0.02944161,0.115759312,0.003700243,0.11205907,0.119459555,2.55,0.018181818,2.531818182,2.568181818,5.174407515,0.015885674,5.158521841,5.190293189,0.625578128,0.005319118,0.62025901,0.630897246,1974.639397,3.767747219,1970.87165,1978.407144,0.615893807,0.008826197,0.607067611,0.624720004,0.267118882,0.007757791,0.259361091,0.274876673,0.00580083,0.001099397,0.004701433,0.006900228,1.846944623,0.018623677,1.828320946,1.8655683,238,"13,287",0,"11,289",0,"153,132","4,107",245,0,15,48,0,49,13,"182,423",0.13%,7.28%,0.00%,6.19%,0.00%,83.94%,2.25%,0.13%,0.00%,0.01%,0.03%,0.00%,0.03%,0.01%,100.00%,0.13%
6009,05000US06009,"Calaveras County, California",ca,California,2014,44787,0,44787,44787,0.779806189,0.044270405,0.735535785,0.824076594,41.48163708,1.203377039,40.27826004,42.68501412,0.386439338,0.0035975,0.382841838,0.390036838,72164.65308,1232.108651,70932.54443,73396.76173,53502,2370.909091,51131.09091,55872.90909,44787,0.042424242,44786.95758,44787.04242,0.770225258,0.021987181,0.748238077,0.79221244,0.229774742,0.016586173,0.213188569,0.246360915,0.941342517,0.917059812,0.965625222,0.003782533,0.002430165,0.001352368,0.006212697,0.011573421,0.002437329,0.009136091,0.01401075,0.068424321,0.008293083,0.060131238,0.076717404,2.5,0.042424242,2.457575758,2.542424242,5.312268716,0.025382384,5.286886332,5.337651101,0.871299459,0.008328024,0.862971435,0.879627483,1981.344826,3.375559481,1977.969267,1984.720386,0.566984701,0.023407279,0.543577422,0.590391979,0.160616496,0.012485624,0.148130873,0.17310212,0.00158076,0.001163643,0.000417117,0.002744403,2.180714729,0.047412297,2.133302433,2.228127026,75,"6,109",0,"3,242",0,"47,294",990,81,0,0,14,0,8,3,"57,816",0.13%,10.57%,0.00%,5.61%,0.00%,81.80%,1.71%,0.14%,0.00%,0.00%,0.02%,0.00%,0.01%,0.01%,100.00%,0.13%
6011,05000US06011,"Colusa County, California",ca,California,2014,21361,0,21361,21361,0.76677102,0.042255965,0.724515054,0.809026985,29.70477535,0.76555698,28.93921837,30.47033233,0.277506464,0.003667483,0.273838981,0.281173947,68863.83223,1198.95593,67664.8763,70062.78816,54946,2021.818182,52924.18182,56967.81818,21361,0.054545455,21360.94545,21361.05455,0.644785981,0.023871159,0.620914822,0.66865714,0.355214019,0.021955757,0.333258262,0.377169776,0.880925022,0.856184577,0.905665466,0.014220052,0.004098959,0.010121093,0.01831901,0.019534616,0.003498677,0.01603594,0.023033293,0.10284401,0.011931638,0.090912372,0.114775648,3.04,0.054545455,2.985454545,3.094545455,5.4773901,0.041524629,5.43586547,5.518914729,0.785489356,0.01700668,0.768482676,0.802496037,1970.05643,7.820544033,1962.235886,1977.876974,0.606722206,0.025111255,0.581610951,0.631833462,0.278942833,0.01874694,0.260195893,0.297689772,0.009623671,0.00426887,0.005354802,0.013892541,2.19419707,0.05344445,2.14075262,2.24764152,13,"2,527",0,"2,072",0,"16,322",205,10,0,0,9,0,2,6,"21,166",0.06%,11.94%,0.00%,9.79%,0.00%,77.11%,0.97%,0.05%,0.00%,0.00%,0.04%,0.00%,0.01%,0.03%,100.00%,0.06%
6013,05000US06013,"Contra Costa County, California",ca,California,2014,1107925,0,1107925,1107925,0.682422347,0.006736197,0.67568615,0.689158544,44.0910748,0.184188665,43.90688613,44.27526346,0.782324405,3.60E-05,0.782288431,0.782360379,102992.264,193.1182465,102799.1458,103185.3823,82881,596.3636364,82284.63636,83477.36364,1107925,0.006060606,1107924.994,1107925.006,0.645236621,0.003413457,0.641823164,0.648650078,0.354763379,0.002994557,0.351768823,0.357757936,0.659119059,0.656305836,0.661932281,0.089967487,0.001776759,0.088190728,0.091744246,0.140816432,0.001298551,0.139517881,0.142114983,0.150740569,0.002503914,0.148236655,0.153244482,2.83,0.006060606,2.823939394,2.836060606,5.76792944,0.006243295,5.761686145,5.774172735,0.668748756,0.002216091,0.666532664,0.670964847,1974.536015,0.811923958,1973.724091,1975.347939,0.707795324,0.003843503,0.703951821,0.711638828,0.264615266,0.003259549,0.261355716,0.267874815,0.013983073,0.000901168,0.013081904,0.014884241,1.998015689,0.00698291,1.991032779,2.004998599,"6,856","28,399",9,"49,284",90,"796,331","40,023","6,437",0,69,109,1,539,59,"928,206",0.74%,3.06%,0.00%,5.31%,0.01%,85.79%,4.31%,0.69%,0.00%,0.01%,0.01%,0.00%,0.06%,0.01%,100.00%,0.74%
6015,05000US06015,"Del Norte County, California",ca,California,2014,27628,0,27628,27628,0.740233444,0.06365002,0.676583425,0.803883464,17.63304149,0.712112144,16.92092935,18.34515364,0.306152706,0.006090247,0.300062459,0.312242952,55908.29186,1288.180553,54620.1113,57196.47241,42363,2298.181818,40064.81818,44661.18182,27628,0.054545455,27627.94545,27628.05455,0.608704861,0.028692052,0.580012808,0.637396913,0.391295139,0.02576121,0.365533929,0.417056349,0.83871651,0.809664106,0.867768913,0.006777507,0.003469287,0.00330822,0.010246794,0.01969713,0.005282369,0.014414761,0.024979499,0.179180345,0.016182865,0.162997481,0.19536321,2.55,0.054545455,2.495454545,2.604545455,5.124845488,0.046710042,5.078135446,5.171555531,0.647183472,0.017260326,0.629923146,0.664443797,1976.182589,10.57473233,1965.607856,1986.757321,0.102615694,0.014103331,0.088512363,0.116719025,0.588160542,0.028013209,0.560147333,0.616173752,0.011331145,0.005141109,0.006190036,0.016472253,1.731229482,0.056534351,1.674695131,1.787763833,19,"1,913",0,"1,485",0,"17,190",291,32,0,0,11,0,5,0,"20,946",0.09%,9.13%,0.00%,7.09%,0.00%,82.07%,1.39%,0.15%,0.00%,0.00%,0.05%,0.00%,0.02%,0.00%,100.00%,0.09%
6017,05000US06017,"El Dorado County, California",ca,California,2014,183000,0,183000,183000,0.770533533,0.016232335,0.754301198,0.786765868,33.91757936,0.367797091,33.54978227,34.28537645,0.636432295,0.001501162,0.634931133,0.637933456,91937.77396,551.1916316,91386.58233,92488.96559,72586,1064.242424,71521.75758,73650.24242,183000,0.018181818,182999.9818,183000.0182,0.749526122,0.008531154,0.740994969,0.758057276,0.250473878,0.005971756,0.244502122,0.256445633,0.905757612,0.897358107,0.914157116,0.006649094,0.001140516,0.005508578,0.00778961,0.032016349,0.001805224,0.030211125,0.033821573,0.080159341,0.004609302,0.075550039,0.084768643,2.68,0.018181818,2.661818182,2.698181818,5.696361468,0.013289878,5.68307159,5.709651346,0.80696879,0.005455071,0.801513719,0.812423862,1979.616958,1.768340003,1977.848618,1981.385298,0.590007108,0.010563787,0.579443321,0.600570896,0.216413932,0.006564538,0.209849394,0.22297847,0.003850255,0.001077242,0.002773013,0.004927496,2.155461438,0.018997181,2.136464257,2.174458619,622,"13,756",0,"9,975",8,"152,103","4,615",770,0,3,25,0,29,16,"181,922",0.34%,7.56%,0.00%,5.48%,0.00%,83.61%,2.54%,0.42%,0.00%,0.00%,0.01%,0.00%,0.02%,0.01%,100.00%,0.34%
6019,05000US06019,"Fresno County, California",ca,California,2014,963160,0,963160,963160,0.769729354,0.00891531,0.760814044,0.778644664,26.74661227,0.147771065,26.59884121,26.89438334,0.38160865,9.62E-05,0.381512423,0.381704877,63284.01,159.2018669,63124.80814,63443.21187,45963,400.6060606,45562.39394,46363.60606,963160,0.012121212,963159.9879,963160.0121,0.525042076,0.004148282,0.520893795,0.529190358,0.474957924,0.004005457,0.470952466,0.478963381,0.66788777,0.664361217,0.671414323,0.056853094,0.001112244,0.055740849,0.057965338,0.080916729,0.001451296,0.079465433,0.082368025,0.22229977,0.003119737,0.219180033,0.225419508,3.16,0.012121212,3.147878788,3.172121212,5.29998734,0.007047249,5.292940091,5.307034589,0.674603297,0.003031444,0.671571853,0.677634741,1976.350857,0.980129046,1975.370728,1977.330986,0.600395384,0.004380572,0.596014812,0.604775955,0.356519823,0.003148059,0.353371764,0.359667882,0.010779547,0.000747301,0.010032246,0.011526848,1.783049931,0.008216104,1.774833827,1.791266035,"2,494","37,024",63,"52,224",0,"590,104","11,914","1,046",2,87,122,5,487,69,"695,641",0.36%,5.32%,0.01%,7.51%,0.00%,84.83%,1.71%,0.15%,0.00%,0.01%,0.02%,0.00%,0.07%,0.01%,100.00%,0.36%
